Name|Address|Category|Lng|Lat
一丞冷凍工業股份有限公司|高雄市大寮區過溪里莒光一街１２號|機械設備製造業|22.5807763|120.4272726
一丞機械有限公司|高雄市仁武區後安里永宏巷１２弄３９號|機械設備製造業|22.7137594|120.3414895
一休生技股份有限司大樹廠|高雄市大樹區竹寮里竹寮路３３５號|食品製造業|22.6631758|120.4216257
一六八輪胎股份有限公司|高雄市大寮區華東路64號|橡膠製品製造業|22.5886558|120.4331411
一力旺生物科技食品有限公司高雄廠|高雄市林園區中門里中門路３３９巷５０弄３１號|食品製造業|22.50761|120.3653551
一品企業有限公司|高雄市彌陀區鹽埕里山霸烟路１０５號|金屬製品製造業|22.7927705|120.2474955
一品製冰廠|高雄市苓雅區三多一路１１０號|食品製造業|22.6233324|120.3322994
一家電熱機械股份有限公司|高雄市大樹區九曲里瓦厝街３巷８２號|電力設備製造業,機械設備製造業|22.6438846|120.4156996
一強電梯業股份有限公司|高雄市大樹區九大路390號1樓|機械設備製造業|22.651876|120.4249557
一德生技有限公司|高雄市三民區達勇里安寧街４２１號|食品製造業|22.640214|120.304185
一成帆布行|高雄市路竹區竹南里中山路１３０７號|紡織業|22.8518672|120.261815
一流一食品工業股份有限公司|高雄市仁武區竹後里竹工三巷３８號|食品製造業|22.7132018|120.3320894
一益企業股份有限公司|高雄市湖內區大湖里民權路２１０巷５號|機械設備製造業|22.8924428|120.2433107
一研企業有限公司|高雄市前鎮區擴建路１之２８號８樓|電腦、電子產品及光學製品製造業|22.589787|120.302778
一翔木業企業行|高雄市梓官區赤崁東路345巷1之6號|木竹製品製造業|22.7421986|120.2536791
一記實業有限公司|高雄市大寮區琉球里農場路１７０號|金屬製品製造業|22.6179351|120.4298364
一誠塑膠企業社|高雄市大寮區後庄里民貴街１７號|塑膠製品製造業|22.6317014|120.3848465
一誠木器有限公司二廠|高雄市大寮區江山路16之6號|木竹製品製造業|22.6355792|120.410887
一誠木器有限公司|高雄市大寮區江山里江山路16之16號|木竹製品製造業|22.6355792|120.410887
一鳴電機企業行|高雄市林園區中門里中門路３３９巷２６弄５２號|電力設備製造業|22.5078787|120.3646701
七彩湖生技有限公司|高雄市燕巢區安招里安林一街5號|食品製造業|22.7881683|120.3302678
万嘉棠食品有限公司|高雄市彌陀區鹽埕里產業路202號|食品製造業|22.7939972|120.2405771
三三食品有限公司|高雄市大樹區竹寮里竹寮路３７４號|食品製造業|22.6629264|120.4225492
